Week,Dengue_cases,Temperature,Humidity,Precipitation
1,82,17.04946429,79.65142857,0
2,33,18.78321429,81.64785714,11.78
3,21,17.12482143,76.50642857,0.32625
4,9,17.47071429,77.89928571,10.1125
5,5,16.72017857,73.32321429,18.87125
6,3,16.80321429,72.83321429,24.5175
7,9,17.88625,62.8475,0.00875
8,3,20.21107143,68.12982143,9.7275
9,1,22.67160714,62.06964286,3.92625
10,7,24.13446429,53.68928571,0
11,0,26.3,51.28142857,0
12,3,27.94357143,58.71071429,3.4475
13,8,28.38178571,68.08017857,32.095
14,3,29.07428571,66.76607143,40.745
15,5,29.92482143,65.50160714,30.95875
16,8,29.6,67.89232143,49.59125
17,7,30.43392857,66.745,27.8975
18,2,29.41375,68.57321429,54.2725
19,9,29.165,75.89535714,126.8375
20,34,29.11589286,83.80892857,149.12
21,61,28.89,80.81803571,108.3375
22,103,28.56607143,83.82089286,83.9225
23,129,28.62642857,86.05267857,130.4075
24,162,28.49178571,88.03089286,177.04875
25,195,27.64625,88.78232143,177.94
26,226,28.20089286,87.865,81.72625
27,265,28.44821429,87.34803571,47.83125
28,234,28.98160714,85.00696429,25.405
29,404,29.09839286,85.30964286,61.185
30,472,28.18053571,84.92196429,87.68625
31,525,28.80321429,86.5325,97.15875
32,531,28.61071429,86.87375,59.8475
33,677,28.84714286,85.72821429,70.9075
34,939,28.3925,86.04982143,63.89125
35,1262,28.15928571,86.87571429,72.46
36,1649,28.60392857,87.62125,98.94
37,2300,27.24214286,91.60375,186.61625
38,2603,28.00589286,88.59803571,43.41375
39,3092,27.90321429,84.90446429,35.325
40,3431,27.715,87.55428571,86.64125
41,4069,27.01553571,88.01589286,77.94125
42,5515,26.44625,82.96678571,7.92375
43,5871,24.48339286,83.29535714,144.81875
44,6149,24.71535714,80.91535714,3.525
45,5341,23.96892857,74.82571429,1.98625
46,4839,21.63678571,77.85214286,0.67375
47,3543,20.83357143,79.57535714,16.54875
48,2713,21.52321429,78.80517857,1.1875
49,1955,19.53375,78.68464286,0
50,1325,19.15428571,76.87964286,0
51,745,18.87357143,75.19339286,0
52,452,18.51321429,73.98607143,8.9325
53,262,16.53928571,76.02910714,0.0125
54,141,17.31464286,70.4025,0.0125
55,85,16.70053571,67.73464286,0
56,90,19.53732143,66.90107143,1.63375
57,53,20.13392857,64.99625,0.43375
58,53,20.45142857,59.20357143,0.0025
59,55,20.84892857,51.75892857,0.00375
60,29,23.87410714,62.35892857,2.84375
61,37,24.67107143,48.29642857,0.61375
62,25,26.33589286,44.19785714,0.0025
63,19,26.67464286,52.23267857,9.44
64,23,24.42017857,70.48625,71.32375
65,24,26.61160714,69.30446429,52.36
66,31,26.50428571,69.77732143,57.97875
67,27,29.41,52.65428571,1.7275
68,20,31.09607143,60.79410714,7.485
69,41,29.295,58.35785714,23.2325
70,104,28.99875,65.42875,45.8725
71,130,30.99089286,59.11821429,14.99375
72,166,29.27142857,71.12125,90.385
73,262,28.35892857,81.97607143,109.65625
74,514,30.03339286,73.1425,21.79
75,727,30.64160714,74.18,44.6175
76,1261,29.75160714,83.14071429,182.57125
77,2213,28.83214286,87.94017857,154.48375
78,1639,28.33357143,88.53410714,166.8925
79,3318,28.94910714,88.80464286,158.7675
80,6533,28.79321429,88.47642857,106.25375
81,10612,28.99517857,87.22714286,30.6975
82,15762,29.28375,85.79071429,46.39125
83,17298,29.74071429,85.0575,112.03625
84,18601,28.34017857,89.74303571,224.91125
85,15804,28.55982143,87.75375,119.22625
86,14347,28.26660714,90.01178571,105.03875
87,15118,29.12321429,85.13910714,97.0325
88,17245,28.96821429,86.80071429,99.26125
89,19377,28.59071429,87.38107143,57.55125
90,19888,28.19214286,88.94714286,125.92625
91,19119,28.29696429,87.81910714,88.5725
92,17683,27.47321429,91.20375,233.565
93,16576,27.97392857,83.33517857,46.12
94,15897,26.31928571,76.92392857,0.69625
95,12961,25.42892857,82.09232143,27.085
96,12101,24.68053571,78.67017857,0.0575
97,12409,23.30928571,78.84392857,0.3225
98,10478,23.00732143,80.44267857,73.46625
99,7387,22.53892857,81.79357143,8.85875
100,5922,22.17,77.16982143,0
101,4051,22.07785714,83.70125,42.1675
102,2392,18.13464286,79.19482143,3.74375
103,1355,17.85642857,78.05071429,0
104,843,19.91160714,79.10232143,0.7175
105,501,17.74964286,79.23803571,2.2475
106,284,17.06946429,78.75839286,0
107,182,16.0475,77.42053571,3.51875
108,156,15.42910714,72.74232143,20.27125
109,124,17.49785714,69.93160714,6.22125
110,119,18.48428571,66.76767857,0.75125
111,58,20.27160714,64.07589286,0.62625
112,59,21.99196429,65.75857143,22.38
113,79,21.71267857,59.58267857,6.26125
114,68,22.94625,53.79589286,1.55125
115,64,24.33357143,53.77767857,6.115
116,89,25.60660714,61.98875,35.04625
117,57,26.20767857,69.20178571,36.28125
118,74,28.54928571,67.91517857,44.04375
119,62,29.37142857,52.92535714,7.175
120,133,30.95696429,54.71767857,14.7625
121,159,31.94214286,53.35375,11.48875
122,137,32.54946429,53.72678571,22.7375
123,149,28.73767857,70.85053571,115.51375
124,184,29.6075,72.45857143,29.215
125,165,30.58910714,73.11892857,59.99875
126,127,29.98803571,83.75696429,249.045
127,166,29.55142857,84.89892857,137.0875
128,174,29.50089286,87.81982143,127.845
129,122,29.27428571,88.50178571,167.93875
130,232,29.36982143,85.85803571,59.2775
131,319,28.51482143,90.99642857,317.66875
132,470,28.765,89.00607143,152.64
133,543,29.52357143,86.60803571,31.04
134,593,29.27875,87.93303571,61.18375
135,1139,28.88464286,89.33875,213.5775
136,966,28.1075,90.18428571,144.09375
137,1417,28.54642857,89.83339286,129.05875
138,1676,27.69303571,92.02482143,293.6325
139,1836,27.7375,89.20928571,87.685
140,2329,28.54696429,87.26571429,66.06625
141,3237,29.18446429,87.52928571,92.6725
142,4224,28.58571429,87.30571429,126.23
143,5440,28.40910714,88.46035714,170.5725
144,6733,28.11785714,89.6725,128.4725
145,6457,27.32714286,88.38553571,81.04875
146,6566,27.18339286,82.46285714,27.06125
147,7241,26.35071429,86.16267857,88.92
148,7497,26.89375,83.87660714,21.31375
149,7723,25.13982143,81.39053571,10.31875
150,7678,23.59928571,80.94607143,0.0675
151,7224,21.66160714,75.49892857,0.00125
152,5968,20.76142857,79.00589286,0
153,4276,19.92517857,79.29660714,1.065
154,3118,17.41357143,79.31107143,0.04625
155,1700,17.70035714,78.16928571,0.0075
156,876,17.99982143,77.55053571,0.9875
157,615,17.82142857,79.40553571,0
158,363,18.00892857,77.77910714,0.02625
159,263,18.44267857,71.37767857,0.00125
160,209,17.98125,71.675,0.00125
161,161,18.70017857,69.58160714,1.2775
162,89,20.35482143,65.17071429,0.34875
163,129,20.26803571,58.46267857,0.695
164,95,22.44178571,57.83714286,1.41875
165,61,23.36803571,57.09928571,4.62375
166,54,24.59196429,50.57464286,1.1375
167,117,25.87214286,53.85107143,3.10875
168,92,27.89517857,58.21892857,5.34625
169,67,27.03696429,52.22928571,4.66625
170,27,29.13714286,53.68321429,13.72875
171,160,29.22517857,57.40125,25.2075
172,140,28.00839286,68.09089286,54.36125
173,237,29.54089286,73.93107143,85.145
174,182,28.15910714,72.68803571,57.8125
175,314,29.13321429,69.83232143,32.92125
176,362,30.66321429,71.96642857,68.4475
177,480,28.70821429,83.48678571,177.62375
178,556,28.41589286,86.56375,236.73625
179,839,29.85571429,80.64160714,82.3675
180,666,31.06517857,71.20767857,26.36375
181,1507,28.56696429,85.79785714,149.2825
182,2147,28.44071429,87.18482143,78.83875
183,2438,28.1,87.00517857,89.18
184,2409,27.52107143,90.36339286,217.03875
185,2326,28.45321429,88.65089286,123.29625
186,2394,29.24946429,86.76392857,101.29875
187,2329,28.3375,90.21982143,173.3275
188,2292,27.49178571,92.65928571,147.8925
189,2300,27.80428571,89.74482143,65.66875
190,2245,28.08857143,88.83535714,92.6725
191,2586,27.69946429,89.17982143,72.2175
192,2926,28.66357143,86.63125,41.68625
193,3460,28.47535714,86.94267857,35.7975
194,3782,27.30821429,90.22517857,107.22625
195,3983,28.86892857,86.31178571,57.83375
196,3795,28.30303571,86.98625,43.3425
197,4702,27.41982143,86.8025,48.02625
198,5087,26.41803571,83.60339286,12.2175
199,5358,27.19142857,79.31982143,4.865
200,6224,27.08392857,78.45321429,8.71125
